question_id,human,generated,note on disagreement,complexity,complexity_class,str_eq,res_eq,res_eq_corrected,nubia,nubia_pred,mt1,mt2,mt3,mt_majority,mt_strict,eq_majority,eq_strict,eq_nubia,,,,,,,,,,
5dbc251f71624f001aa02014,In which language are the movies with a popularity of more than 17.7091?,What are the names of languages spoken in movies with a popularity of more than 17.7091?,bad annotator,1.5,easy,0,0,0,0.680654912,0,1,1,1,1,1,0,0,1,,,,,,,,,,
5dc017d971624f001aff77bc,What is the popularity of the movie Austin Powers in Goldmember?,What are the popularities of movies whose status is Austin Powers in Goldmember?,bad annotator,1.5,easy,0,0,0,0.601403187,0,0,1,1,1,0,0,1,1,,,,,,,,,,
5dc0156a71624f001aff77b8,What is the popularity of movies released on the date 1995-07-07?,What are the popularities of movies who were released on 1995-07-07?,,1.5,easy,1,1,1,0.938357342,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d91bc68051e8ba020c69b1e,What are the death places of all female persons?,What are the death places of people who were deceased in f?,,1.5,easy,0,0,0,0.205119237,0,0,0,1,0,0,1,1,1,,,,,,,,,,
5da81791e1a210d365165bc1,Which movies were released before 2010?,What are the names of movies with a vote average of at most 2010-01-01?,,1.5,easy,0,0,0,0.131308868,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5da8192ce1a210d365165bc7,"What's the release date of movies, which were filmed in Portuguese?",What are the release dates of movies whose name is pt?,,1.5,easy,0,0,0,0.210198263,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5db3017d71624f0018949972,What popularity do the movies have with a vote count of at most 1405.0?,What are the popularities of movies with a vote count of at most 1405?,,1.5,easy,1,1,1,0.982990375,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dc5abca71624f001aff7fbb,"Which are the birth places of the persons who the death place is not Stony Brook, New York?","What are the birth places of people who were not deceased in Stony Brook, New York?",,1.5,easy,1,1,1,0.937998635,1,1,1,0,1,0,1,0,1,,,,,,,,,,
5dc98623235bfe00191c4494,What is the movie vote count for movies which run for 140 minutes?,What are the vote counts of movies with a budget of at most 140 dollars?,,1.5,easy,0,0,0,0.658048699,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dd2682e451d96001804a67b,What are the death places of people born after 1939-12-17?,What are the death places of people who were born after 1939-12-17?,,1.5,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dc0923f71624f001aff77eb,What are the death dates of persons that are female?,What are the death days of people who were deceased in f?,,1.5,easy,0,0,0,0.212250957,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dc9406c71624f00194ac2e7,Which persons have a deathday after 1980-04-16?,What are the death days of people who were deceased after 1980-04-16?,bad annotator,1.5,easy,0,0,0,0.920747579,1,0,1,1,1,0,0,1,0,,,,,,,,,,
5db81ec671624f001aa018b8,What is the budget of The Last Legion?,What are the budgets of movies?,,1.5,easy,0,0,0,0.180222049,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5d9d95ccfe2ee611cc1b50c4,What is the language of the movie Sky High?,What are the original languages of movies whose name is Sky High?,,1.5,easy,1,1,1,0.509917675,0,1,1,0,1,0,1,0,0,,,,,,,,,,
5dcfc3ca451d9600192f0c9f,What are the release dates of movies with a vote average lower than 3.8?,What are the release dates of movies with a vote average of less than 3.8?,,1.5,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5db8338271624f001aa018c0,Are there votes for Whipped?,Are there any vote counts of movies with a budget of at most Whipped dollars?,,1.5,easy,0,1,0,0.196911008,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dcf22b8451d9600192f0c7b,What are the movies budget if the movies vote average is 6.4 or less?,What are the budgets of movies with a vote average of at most 6.4?,,1.5,easy,1,1,1,0.8210938,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d949aa69b2571e812d602d0,Where were born those who died on 2014-06-28 or afterwards?,What are the death places of people who were deceased before 2014-06-28?,,1.5,easy,0,0,0,0.412147456,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dcfd106451d9600182f0c90,What are the persons birth places when their death day was before 2013-06-23?,What are the birth places of people who were born before 2013-06-23?,,1.5,easy,0,0,0,0.940722436,1,1,0,0,0,0,1,1,0,,,,,,,,,,
5d40074093dd6c91e85b9947,"Are there persons that did not die in Topanga, Kalifornien?","Are there any death places of people whose name is not Topanga, Kalifornien?",,1.5,easy,0,1,0,0.50560318,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dc988fb235bfe00191c449e,What are the movie revenues for movies with a budget bigger than 7000000?,What are the revenues of movies with a budget of more than 7000000 dollars?,,1.5,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5da5e4d05aaa6bd58ddcb620,What are the original languages of those movies with a vote count of at least 1061?,What are the original languages of movies with a vote count of at least 1061?,,1.5,easy,1,1,1,0.997630559,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5e2423d6451d960019d0849e,What are the distinct genders of persons that died before 2009-03-29 ?,What are the genders of people who were deceased before 2009-03-29?,,1.5,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5e2438ad451d960019d084be,Are there budgets for movies with a runtime smaller or equal than 134 ?,Are there any budgets of movies with a runtime of at most 134 minutes?,,1.5,easy,1,1,1,0.962686331,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5e241e96451d960019d0848c,What are the distinct popularities of movies with a vote count bigger or equal than 738 ?,What are the popularities of movies with a vote count of at least 738?,,1.5,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d402efa93dd6c91e85b9961,Are there persons that died after December 12th 1980?,Are there any death days of people who were deceased after 1980-12-12?,,1.5,easy,0,1,1,0.775360259,1,0,1,1,1,0,1,0,1,,,,,,,,,,
5d9739dc9b2571e812d6032c,Find the revenue of the movies that are released before 2007-06-22.,What are the revenues of movies who were released before 2007-06-22?,,1.5,easy,0,0,1,0.977060017,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5da72b45e1a210d365165b99,Which is the status of the movie Tango & Cash?,What are the statuses of movies whose status is Tango & Cash?,,1.5,easy,0,0,0,0.569871178,0,0,1,0,0,0,1,1,1,,,,,,,,,,
5dc29cb571624f001aff7c7e,Do movies exist with a higher vote count than 1564?,Are there any vote counts of movies with a vote count of more than 1564?,,1.5,easy,0,1,1,0.885127576,1,0,1,1,1,0,1,0,1,,,,,,,,,,
5dc295b071624f001aff7c6e,What are the different statuses for movies with a longer runtime than 177?,What are the statuses of movies with a runtime of less than 177 minutes?,,1.5,easy,0,0,0,0.456677176,0,1,0,0,0,0,1,1,1,,,,,,,,,,
5d9776b69b2571e812d60372,Find the popularity of the movies which received the average vote of at least 4.7.,What are the popularities of movies with a vote average of at least 4.7?,,1.5,easy,0,0,0,0.987589374,1,1,1,1,1,1,0,0,0,,,,,,,,,,
5db5b73471624f001aa01888,"On which dates were the persons, that died before 2004-05-09, born?",What are the death days of people who were deceased before 2004-05-09?,,1.5,easy,0,0,0,0.50192442,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dc9887f235bfe00191c449b,What are the popularity of movies with a revenue greater than 13100000?,What are the popularities of movies with a revenue of more than 13100000 dollars?,,1.5,easy,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dc456ee71624f001aff7f7d,Which are the names of the persons with a birthday after 1957-08-15?,What are the names of people who were born after 1957-08-15?,,1.5,easy,0,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dad868e71624f0018949918,Give me the status of all movies with revenue other than 139000000,What are the names of movies with a revenue other than 139000000 dollars?,bad annotator,1.5,easy,0,0,0,0.697531408,0,1,0,1,1,0,0,1,1,,,,,,,,,,
5d9d95a9fe2ee611cc1b50c3,What are the vote averages of movies with a revenue of 160583018 or more?,What are the vote averages of movies with a revenue of more than 160583018 dollars?,,1.5,easy,0,1,1,0.927572715,1,1,1,0,1,0,1,0,1,,,,,,,,,,
5dd7efb8451d96001804a6f0,What are the names of people who died on or after 1968-01-18?,What are the names of people who were deceased after 1968-01-18?,bad annotator,1.5,easy,0,0,0,0.914138568,1,1,1,0,1,0,0,1,0,,,,,,,,,,
5d9735ce9b2571e812d60325,Find the popularity of the movies that are not in status of Post Production.,What are the popularities of movies whose status is not Post Production?,,1.5,easy,1,1,1,0.804448477,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dc4539b71624f001aff7f74,Which vote counts have the movies without an original language?,What are the vote counts of movies whose original language is not no?,,1.5,easy,0,0,0,0.68926724,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5d97738e9b2571e812d60370,Find the birth place of the female movie personalities.,What are the birth places of people whose gender is f?,,1.5,easy,1,1,1,0.220130934,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5d91f185051e8ba020c69b46,What are the birth places of male persons?,What are the birth places of people who were born in m?,,1.5,easy,0,0,0,0.40284838,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5db9cb8d71624f001aa019af,Whats the revenues of movies with a budget of less than 439000?,What are the revenues of movies with a budget of less than 439000 dollars?,,1.5,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5db5b6fa71624f001aa01887,Which different release dates do the movies that weren't released have?,What are the release dates of movies whose status is not Released?,,1.5,easy,1,1,1,0.624942888,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5dc54e8471624f001aff7fa4,What are the runtimes of movies with a popularity equal or lower than 0.553752?,What are the runtimes of movies with a popularity of at most 0.553752?,,1.5,easy,1,1,1,0.615464778,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5db9d03571624f001aa019be,On which dates were movies released with a higher popularity than 9.3582?,What are the release dates of movies with a popularity of more than 9.3582?,,1.5,easy,1,1,1,0.831968733,1,0,1,1,1,0,1,0,1,,,,,,,,,,
5da728b5e1a210d365165b93,Which are the original languages of the movies that their average vote is 4.3?,What are the original languages of movies with a vote average of 4.3?,,1.5,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5da86a0a7614c666096a08fb,What movies have a rating of at least 4.5?,What are the names of movies with a vote average of at least 4.5?,,1.5,easy,1,1,1,0.608716886,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5dc0137571624f001aff77b5,What are original languages of movies that have a vote average of 5.3 or less?,What are the original languages of movies with a vote average of at most 5.3?,,1.5,easy,1,1,1,0.919908784,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dc467ed71624f001aff7f8b,Are there movies with a popularity more than 10.521 that are released?,Are there any vote averages of movies with a popularity of more than 10.521?,,1.5,easy,0,1,0,0.540954388,0,1,1,0,1,0,0,1,1,,,,,,,,,,
5dc54fbf71624f001aff7fa7,What are the runtimes of movies with a budget equal or smaller than 48000000?,What are the runtimes of movies with a budget of at most 48000000 dollars?,,1.5,easy,1,1,1,0.716898114,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5db5b5ac71624f001aa01885,"On which dates were the persons, which didn't die on 1998-05-14, born?",What are the death days of people who were not born on 1998-05-14?,,1.5,easy,0,0,0,0.729369273,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5d400f7893dd6c91e85b994f,What are the original languages of movies with revenues of less than 42064105 Dollars?,What are the original languages of movies with a revenue of less than 42064105 dollars?,,1.5,easy,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dba7ec071624f001aa019cb,Whats the average movie budget of movies with a runtime of more than 136?,What is the average budget of all movies with a runtime of more than 136 minutes?,,2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d40184393dd6c91e85b9954,What is the summed rating of all movies released not earlier than May 10th 1986?,What is the total vote average of all movies who were released after 1986-10-05?,bad annotator,2,easy,0,0,0,0.483764073,0,1,0,1,1,0,0,1,1,,,,,,,,,,
5dc2c00271624f001aff7f5e,Whats the total length of all movies with original language pt?,What is the total runtime of all movies whose original language is pt?,,2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d400f9993dd6c91e85b9950,What is the average runtime of movies with a rating of 7.2?,What is the average runtime of all movies with a vote average of 7.2?,,2,easy,0,1,1,0.757314532,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d402c5f93dd6c91e85b995a,"What is the runtime of the movie with the lowest popularity, which is in post production?",What are the runtimes of movies with a popularity of Post Production?,,2,easy,0,0,0,0.568511234,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dc4626971624f001aff7f7e,How much is the average of all votes from the movies with a popularity up to 6.00342?,What is the average vote count of all movies with a popularity of 6.00342?,bad annotator,2,easy,0,0,0,0.929206799,1,1,0,1,1,0,0,1,0,,,,,,,,,,
5d91be00051e8ba020c69b23,What is the total runtime of all movies released on 2008-08-21?,What is the total runtime of all movies who were released on 2008-08-21?,,2,easy,1,1,1,0.966796229,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5e281fcf451d960019d084fe,What is the movie run time where the movie name is Imagine Me & You?,What are the runtimes of movies whose name is not Imagine Me & You?,,2,easy,0,0,0,0.322337913,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5da72c3ae1a210d365165b9c,Which is the average revenue of the movies that were released on August 8th 2003?,What is the average revenue of all movies whose status is 2003-08-08?,,2,easy,0,0,0,0.639554724,0,0,0,1,0,0,1,1,1,,,,,,,,,,
5d4017c693dd6c91e85b9952,What is the revenue of the movie that has the maximum rating among all movies with at most 1910 votes?,What are the revenues of movies with a vote count of at most 1910?,bad annotator,2,easy,0,0,0,0.588431861,0,1,0,1,1,0,0,1,1,,,,,,,,,,
5e2425cd451d960019d084a4,What is the summed vote average of movies with a budget smaller than 12516654 ?,What is the total vote average of all movies with a budget of less than 12516654 dollars?,,2,easy,1,1,1,1,1,1,1,0,1,0,1,0,1,,,,,,,,,,
5e24cd0e451d960019d084e1,What is the summed vote average of movies with a popularity bigger than 40.138 ?,What is the total vote average of all movies with a popularity of more than 40.138?,,2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dd7fad5451d96001804a6fa,How many different status do movies have with the original_language cs?,How many statuses of movies whose status is cs are there?,,2,easy,0,0,0,0.691621929,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5d4135b7692f198cdabe887d,What is the budget of the movie with the maximum revenue among all movies that have more than 1101 votes?,What are the budgets of movies with a vote count of more than 1101?,bad annotator,2,easy,0,0,0,0.662153601,0,1,0,1,1,0,0,1,1,,,,,,,,,,
5dc0181d71624f001aff77bd,How many original languages of movies are there for a movie budget over 140000000?,How many original languages of movies with a budget of more than 140000000 dollars are there?,,2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5da819bfe1a210d365165bca,"How many movies, which were shot in Hindi, are already released?",How many names of movies whose status is hi which were produced in countries are there?,,2,easy,0,0,0,0.19613243,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dcfd588451d9600192f0cc3,How many movies release dates are there except the movies with the language te?,How many release dates of movies whose original language is not te are there?,,2,easy,1,1,1,0.625704044,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5db3025171624f0018949975,What does the vote average of movies released on or after March 17th 2005 sum up to?,What are the vote averages of movies who were released after 2005-03-17?,bad annotator,2,easy,0,0,0,0.851457134,1,1,1,0,1,0,0,1,0,,,,,,,,,,
5db5b9a771624f001aa0188f,What is the summed vote average of movies with the title Illuminata?,What is the total vote average of all movies whose name is Illuminata?,,2,easy,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d92ea16b858765a1aa61773,How many movies in africaans exist?,How many names of movies whose status is af are there?,,2,easy,0,0,0,0.525463911,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5db5b91271624f001aa0188d,How many different statuses do the movies with an original language other than th have?,How many statuses of movies whose original language is not th are there?,,2,easy,0,0,1,0.884131146,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dcafbe5235bfe00197bec81,"What's the average popularity of the movie ""Krush Groove""?",What is the average popularity of all movies whose name is Krush Groove?,,2,easy,1,1,1,0.554388127,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5dc683fd71624f001aff7fe6,What is the average revenue of movies with a popularity more than or equal to 50?,What is the average revenue of all movies with a popularity of at least 50?,,2,easy,1,1,1,0.923557012,1,1,1,0,1,0,1,0,1,,,,,,,,,,
5d98fde69b2571e812d60383,Find the average popularity of the movies whose original language is ar.,What is the average popularity of all movies whose original language is ar?,,2,easy,1,1,1,0.972534974,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d4130a1692f198cdabe8875,How many different runtimes exist for movies that have vote counts other than 2491?,How many runtimes of movies with a vote average of more than 2491 are there?,,2,easy,0,0,0,0.805188902,1,0,0,0,0,0,1,1,0,,,,,,,,,,
5d98f3809b2571e812d60379,Count the number of movies that received revenue with the voting average value of 5.6.,What are the vote counts of movies with a revenue of 5.6 dollars?,,2,easy,0,0,0,0.80666515,1,0,0,0,0,0,1,1,0,,,,,,,,,,
5db301a771624f0018949973,What is the average movie popularity for movies with a runtime of 127 minutes?,What is the average popularity of all movies with a runtime of 127 minutes?,,2,easy,1,1,1,0.963723063,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d4017fc93dd6c91e85b9953,What is the average popularity among all movies with a budget of at least 42000000 Dollars?,What is the average popularity of all movies with a budget of at least 42000000 dollars?,,2,easy,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dc016ad71624f0019ff77ac,What is the average popularity of movies released before 2000-08-21?,What is the average popularity of all movies who were released before 2000-08-21?,,2,easy,0,0,1,0.92622538,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dbbd1d271624f001aa01f27,When are people born which were part of the cast of movies with a vote count of 212?,What are the birth places of people who starred in movies with a vote count of at most 212?,,3.5,medium,0,0,0,0.766334664,1,0,0,0,0,0,1,1,0,,,,,,,,,,
5db589ba71624f001aa0187a,What are the names of the crew members who worked on the movie The Bourne Supremacy?,What are the names of people who worked in movies whose name is The Bourne Supremacy ?,,3.5,medium,0,1,1,0.798457802,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d9453223c5b755f70be0714,Are there oscar categories for which movies with a runtime of at most 186 minutes have been nominated ?,Are there any categories of oscars for which people were nominated for their contribution to movies with a runtime of at most 186 minutes?,,3.5,medium,0,1,1,0.717929765,0,1,1,1,1,1,1,1,0,,,,,,,,,,
5d40417de97948844305cd95,Which companies produced movies before October 17th 2007?,What are the names of companies which produced movies who were released before 2007-10-17?,,3.5,medium,0,0,1,0.913985829,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d68d323e898b395abe686a3,Are there genres associated to Thor: The Dark World?,Are there any names of genres comprising movies whose status is Thor: The Dark World?,,3.5,medium,0,0,0,0.562130967,0,1,0,0,0,0,1,1,1,,,,,,,,,,
5dd028d8451d9600192f0d3c,What are the movie release date of movies form the oscar year that are older than or the same age as 1948?,What are the vote averages of movies for which people won oscars who were awarded after 1948 with minimum vote average?,,3.5,medium,0,0,0,0.307748876,0,1,0,0,0,0,1,1,1,,,,,,,,,,
5dc9476471624f00194ac2f4,What are the oscar number of the oscar nomineed persons which have died before 1999-03-07?,What are the categories of oscars for which people who were deceased before 1999-03-07 were nominated for their contribution to movies?,,3.5,medium,0,0,0,0.729172669,0,0,1,0,0,0,1,1,1,,,,,,,,,,
5ddcfaae451d9600196b7040,In what oscar categories have oscars been won for movies with a revenue of at most 13391174?,What are the sub-categories of oscars which people won for their contribution to movies with a revenue of at most 13391174 dollars?,,3.5,medium,0,0,0,0.871426266,1,0,1,0,0,0,1,1,0,,,,,,,,,,
5dcece6d451d9600182f0c35,Is there any birthday of a person who won the oscar after the year 2006?,Are there any birth days of people who won oscars for their contribution to movies?,,3.5,medium,0,0,0,0.453513774,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5df90cf9451d960019bbc11d,Which different death places are there for oscar nominees who played in movies with a budget of 13000000 or more?,Are there any death places of people who were nominated for oscars for their contribution to movies with a budget of at least 13000000 dollars?,bad annotator,3.5,medium,0,0,0,0.923033343,1,0,1,1,1,0,0,1,0,,,,,,,,,,
5dc01e2071624f001aff77cc,Does any movie with a revenue below 93820758 have a genre?,What are the names of movies with genres whose name is 93820758 with maximum revenue?,,3.5,medium,0,0,0,0.415451001,0,0,0,1,0,0,1,1,1,,,,,,,,,,
5d4041b0e97948844305cd97,Which companies produced movies with a popularity of more than 0.545825?,What are the names of companies which produced movies with a popularity of more than 0.545825?,,3.5,medium,0,1,1,0.841288993,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5e2423fa451d960019d0849f,"Are there titles of movies that were not produced by the company ""Ministère du Développement Durable et de la Mer"" ? ",Are there any runtimes of movies which were produced by companies whose name is not Ministère du Développement Durable et de la Mer?,,3.5,medium,0,0,0,0.591047888,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dc98329235bfe00191c448c,Is there any person who was nomineed for the oscar befor or in the year 1978?,Are there any death places of people who were nominated for oscars who were awarded on 1978 for their contribution to movies?,,3.5,medium,0,0,0,0.507351821,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5db018a271624f001894991d,Are there companies that produces movies with a budget of less than 7500000 Dollars?,Are there any names of companies which produced movies with a budget of less than 7500000 dollars?,,3.5,medium,0,1,1,0.953717993,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dba864471624f001aa019d0,Which movies do have the keyword motorcycle gangs assigned?,What are the names of movies with keywords whose name is motorcycle gangs?,,3.5,medium,0,1,1,0.868458636,1,1,0,1,1,0,1,0,1,,,,,,,,,,
5dc5aaa671624f001aff7fb7,Is there a genre where the movie Halloween 5: The Revenge of Michael Myers belongs to?,Are there any names of genres comprising movies whose status is Halloween 5: The Revenge of Michael Myers?,bad annotator,3.5,medium,0,0,0,0.666968472,0,1,1,0,1,0,0,1,1,,,,,,,,,,
5dd4175b451d96001804a6c6,What are the movie titles of movies that weren't produced in Algeria?,What are the names of movies whose original language is not Algeria?,,3.5,medium,0,0,0,0.607038058,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dc98b54235bfe00181c4497,What are the keyword names if the movie status is Rumored ?,What are the names of keywords for movies whose status is Rumored?,,3.5,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dcee24b451d9600192f0c56,"In which movies were crew persons involved whose birth place is other than Eastoft, North Lincolnshire?","What are the names of people who were not born in Eastoft, North Lincolnshire who worked in movies ?",,3.5,medium,0,0,0,0.726455912,0,0,0,1,0,0,1,1,1,,,,,,,,,,
5ddcfa79451d9600196b703f,Does a production company exist that generated a revenue of 35841901 for a movie?,What are the names of companies which produced movies?,,3.5,medium,0,0,0,0.161468643,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dcfdf44451d9600192f0ccc,Are there any language when the movie popularity is 5.48468?,Are there any names of languages spoken in movies with a popularity of 5.48468?,,3.5,medium,1,1,1,0.77886823,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5df8f8c5451d960019bbc113,What are the movie titles of the movies the company Entropy has produced?,What are the names of movies which were produced by companies whose name is Entropy?,,3.5,medium,0,1,1,0.887916623,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dd3af1b451d96001804a6ba,Has any company produced a movie which generated a revenue of 33889159?,What are the names of companies which produced movies with a revenue of 33889159 dollars?,,3.5,medium,1,1,1,0.702638121,0,1,0,1,1,0,1,0,0,,,,,,,,,,
5dcafc82235bfe00187bec72,What are the companys names where the movie status was Rumored?,What are the names of movies whose status is Rumored?,,3.5,medium,0,0,0,0.623752963,0,0,1,0,0,0,1,1,1,,,,,,,,,,
5dceab4e451d9600182f0c28,Is there any production country where a movie has been produced with a runtime less than 132?,Are there any names of countries in which movies with a runtime of less than 132 minutes were produced?,,3.5,medium,0,1,1,0.917871479,1,1,1,0,1,0,1,0,1,,,,,,,,,,
5dced0bc451d9600192f0c42,Which movies have been produced in Lithuania?,What are the names of movies whose status is Lithuania?,,3.5,medium,0,0,0,0.422779158,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5dcc3b94235bfe00187becb1,Are there any oscar categories in which people were nominated who died after 1971-01-05?,Are there any categories of oscars for which people who were deceased after 1971-01-05 were nominated for their contribution to movies?,,3.5,medium,1,1,1,0.734910988,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dcf1f4f451d9600182f0c5d,What are the genre names which have movies with a runtime of 92 and more?,What are the names of genres comprising movies with a runtime of more than 92 minutes?,,3.5,medium,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5dc99929235bfe00181c44a8,What are the movie titles who are not produced by Claussen + Wöbke Filmproduktion GmbH ?,What are the names of movies whose name is not Claussen + Wöbke Filmproduktion GmbH?,bad annotator,3.5,medium,0,0,0,0.832686372,1,1,1,0,1,0,0,1,0,,,,,,,,,,
5dce944d451d9600182f0c0e,Which persons were nominated for the oscar who were involved in a film with a budget of 100000000?,What are the death places of people who were nominated for oscars for their contribution to movies with a budget of 1000000 dollars?,,3.5,medium,0,0,0,0.301267003,0,0,0,0,0,0,1,1,1,,,,,,,,,,
5db018d071624f001894991e,To which genres do movies with a revenue of over 141000000 Dollars belong?,What are the names of genres comprising movies with a revenue of more than 141000000 dollars?,,3.5,medium,0,1,1,0.984263068,1,1,1,1,1,1,1,1,1,,,,,,,,,,
5d4196247db2d3f204907149,Are there languages to which movies with a runtime longer than 122 minutes are translated to?,Are there any names of languages spoken in movies with a runtime of less than 122 minutes?,,3.5,medium,0,1,0,0.450012088,0,0,0,0,0,0,1,1,1,,,,,,,,,,
